name,type,lore
Dernic Grains,2,
Dernic Gem,2,
Dernic Paper,2,
Dernic String,2,
Dernic Wood,2,
Dernic Oil,2,
Dernic Meat,2,
Dernic Ingot,2,
Blunt Force,4,
Expelled Shrapnel,1,
Gruesome Carnassial,1,
Plane of Nonexistence,1,
Depurinated Genome,1,
Subjoined Brain,1,
Frenetic Heart,1,
Glow Bulb Seeds,1,
Photophobic Kelp,1,
Blueshift Beacon,1,
Portal Rift,1,
Electromagnetic Shield Plating,1,
Malignant Nuclei,1,
Inverted Grotesque,1,
Gaze of Darkness,1,
Solid Ultraviolet Ray,1,
Disturbed Dye,1,
Unsettling Void,1,
Vortexian Event Horizon,1,
Rigid Fin,1,
Shrieker's Head,1,
Dizzying Void,1,
Negative Rafflesia,1,
Coalescence,1,
Dernic Sludgebomb,1,
Nuclear Emesis,3,
Watchman's Vendetta,4,
Adherence,3,"Adherence to the laws of good is important- it’s why one fights the spread of corruption, after all. Though whether to follow the spirit or the letter… perhaps they too can be bent to your will."
Detachment,5,"An anomaly of separation, for the wanderers who seek purpose outside of reality."
Thought Energy,5,
Breakthrough,5,"An anomaly of destruction, for the conquerors who seek purpose outside of reality."
Infinitesimal,4,"For when one needs to carve the smallest stone or pick the smallest lock, the subtleties of precision approach impossibility."
Fool's Errand,3,
Inconceivably Deranged Paper Mask of Legendary Victory,3,"This cheap paper mask drawn in the likeness of Herbert von Legendary as he was having a complete nervous breakdown after having his life threatened by people who would not stop challenging him, is handed over in the ill-conceived hope of easing the murderous tendencies of those who have spent unnecessary amounts of time, broken the mold, gone even further beyond, pushed onward to prove that they will not stop, ultimately garnered an unhealthy obsession, and then came to blows in Doctor Legendary's house demanding further prizes all for the singularly unsettling and quite possibly sociopathic purpose of spending unnecessary amounts of time completing the Legendary Challenge. The inside has the names and addresses of multiple notable psychoanalysts written with a hastily-scrawled note from Doctor Legendary himself begging that you stop completing the Legendary Challenge and go get therapy before you do something to him that would constitute legal action against you."
Continuum,4,"From nothing to everything, forever past to forever more, the vastness of eternity is obscured by the sameness of tomorrow."
Ingress,5,"An anomaly of invasion, for the explorers who seek purpose outside of reality."
Simulacrum,5,"An anomaly of replication, for the assemblers who seek purpose outside of reality."
Forbearance,5,"An anomaly of restriction, for the protectors who seek purpose outside of reality."
Null Plating,3,
Recursion,4,"To call an end a new beginning implies there ever was a beginning, or ever will be an end."
Aleph Null,3,"It's a strange feeling, running forever to reach the horizon knowing another lies just as far past."
Divergence,4,"Strangers held together by shared past, entwined in a fray, never to unite again."
Nonexistence,3,"What lies beneath the brim of all that never was, that overflowing vastness which cannot spill?"
Fractal,4,"Curious, isn't it, that unending complexity can feel so plain in one's hand, yet pull deeper than eyes can see and minds can fathom?"
Collection,5,"An anomaly of adoption, for the caretakers who seek purpose outside of reality."
Charm of the Void,7,
Tome of Parrying Expertise,6,
Tome of Triage Expertise,6,
Tome of Countering Expertise,6,
Tome of Scavenging Expertise,6,
Tome of Remedial Expertise,6,
Fighter's Tome of Combat Mastery,6,
Cyclonic Tome of Combat Mastery,6,
Infernal Tome of Combat Mastery,6,
Sorcerer's Tome of Combat Mastery,6,
Abyssal Tome of Combat Mastery,6,
Seismic Tome of Combat Mastery,6,
Esoteric Tome of Combat Mastery,6,
Nimble Tome of Combat Mastery,6,
Voltaic Tome of Combat Mastery,6,
Psych Starfruit,1,
Umami,5,"Rumors circulate of a once-cook from Lutho who managed to achieve the perfect meal. In their final days, they preserved its essence in this necklace, in a hope that someone else would be able to share the experience they had."
Albatross,5,"And lo, a single bolt did fly, ensured the bird's grace ever lost, and pierced its wings out from the sky, the day you shot the albatross."
Ad Terram,5,
Giant Teratoma,1,
Dense Void Hole Chunk,1,
Dernic Parasite,1,
Sentient Leukocyte,1,
Retinal Barbs,1,
Vim Veins,1,
Migratory Coconut,1,
Neon Seawater,1,
Cavitated Bone,1,
Infected Mass,1,
Acidulous Plating,1,
Eyes Yet Open,1,
Dernic Hydroid,1,
Rejected Geode,1,
Ultramarine Minnow,1,
Extremophile Pelt,1,
Tendril Talon,4,
Roridula,3,
Bone-Dry Breastplate,3,
Resonance,4,"The power to join oneself with the lifeblood of the earth has long eluded sects of fanatical druids and shamans. One such cult found a way, and subsequently wiped itself out in the process, their flesh turning to stone and veins forming new rivers."
Trance,4,"Down. Your enemies will fall slack. Deeper. Do you know this compulsion you bring? Deeper still. This implement, reaching from within and without. Even deeper. Souls and wills to command at the flex of a finger. Almost gone. It is my compulsion, too great to ignore. It is my implement, too strong to resist. My puppets, too deep to escape. Drop."
Drowned Pride,4,
Malicious Maw,4,
Anaerobic,3,
Agglomerate Apex,4,
Transplanted Psyche,3,
Inscrutable Illusion,4,
Static Wisdom,4,
Pneumatic Grace,4,
Frameshift,4,
Outlandish Replica Face Mask of Legendary Victory,3,"This perfect-to-the-point-of-indistinguishability replica mask of Herbert von Legendary's face, painstakingly crafted by Corkus's most powerful machines with only the most expensive materials and featuring real moustache hair plucked from Doctor Legendary's face, is desperately handed over to attempt to placate those who have spent an unnecessary amount of time completing the Legendary Challenge, broken the mold by continuing to spend an unnecessary amount of time completing the Legendary Challenge, gone even further beyond spending unnecessary amounts of time completing the Legendary Challenge, pushed onward to prove that they will not stop spending unnecessary amounts of time completing the Legendary Challenge, and then ultimately garnered an unhealthy obsession for spending unnecessary amounts of time completing the Legendary Challenge."
Sclera Swathe,4,
Buried Glory,4,
Labyrinth,4,"Left. Right. Left. Right. They are desperate for an escape, merely playthings in a maze of your design. Left. Left. Right.  Turn back. When mountains of stone can shift at your command, their world is reduced to a single path. Left. Right. Does it ever end?"
Convergence,4,"As the void approaches nearer and nearer, the barrier between realms thins almost to a point... And yet, no matter how far you fall or how fast you fly, it will always lie just out of reach. Such is the indeterminate nature of the void, and its power that you harness."
Burning Passion,4,
Mesmerizing Madness,3,
Darkness's Dogma,4,
Animosity,4,
Death Grasp,5,
Wanderlust,3,"Are your heart, soul, and mind one? The ones who love are the most vulnerable. The ones who persist are the most detached. The ones who forget are the most naive. Only when you remove these impurities from your body could you reach the end. "
Toxxulous Ripper’s Legs,1,
Gunkfueled Core,1,
Plutonium Waste,1,
Alnamar Meat,1,
Soul Essence,1,
Lactic Acid Crystal,1,
Voidtossed Memory,1,
Doom Stone,1,
Pluripotent Tissue,1,
Decaying Arteries,1,
Leg Eater Tooth,1,
Larbonic Sheddings,1,
Green Foot,1,
Fleshbark,1,
Scopaesthesia,1,
